...1,CellSubset,cell_name,functional_markers,lineage_markers,notes
25,B Cell CXCR5hi CCR7lo T_betlo,B Cell,CXCR5hi CCR7lo T_betlo,CD3- CD19+ CD56- CD33-,NA
26,B Cell CXCR5lo CCR7hi,B Cell,CXCR5lo CCR7hi,CD3- CD19+ CD56- CD33-,NA
27,B Cell CXCR5lo CCR7lo,B Cell,CXCR5lo CCR7lo,CD3- CD19+ CD56- CD33-,NA
28,Basophil CRTH2hi CD25hi CD95hi,Basophil,CRTH2hi CD25hi CD95hi,CD3- CD19- CD56- CD33- CD123+ HLADR-,NA
29,Basophil CRTH2hi CD25hi CD95lo,Basophil,CRTH2hi CD25hi CD95lo,CD3- CD19- CD56- CD33- CD123+ HLADR-,NA
30,Basophil CRTH2hi CD25lo CD95hi,Basophil,CRTH2hi CD25lo CD95hi,CD3- CD19- CD56- CD33- CD123+ HLADR-,NA
31,Basophil CRTH2hi CD25lo CD95lo,Basophil,CRTH2hi CD25lo CD95lo,CD3- CD19- CD56- CD33- CD123+ HLADR-,NA
32,Basophil CRTH2lo CD25hi,Basophil,CRTH2lo CD25hi,CD3- CD19- CD56- CD33- CD123+ HLADR-,NA
33,Basophil CRTH2lo CD25lo CD95hi,Basophil,CRTH2lo CD25lo CD95hi,CD3- CD19- CD56- CD33- CD123+ HLADR-,NA
34,Basophil CRTH2lo CD25lo CD95lo,Basophil,CRTH2lo CD25lo CD95lo,CD3- CD19- CD56- CD33- CD123+ HLADR-,NA
35,CD4+ CD8+ T Cell CD45RAhi CD95hi,CD4+ CD8+ T Cell,CD45RAhi CD95hi,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8+,NA
36,CD4+ CD8+ T Cell CD45RAhi CD95lo T_bethi,CD4+ CD8+ T Cell,CD45RAhi CD95lo T_bethi,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8+,NA
37,CD4+ CD8+ T Cell CD45RAhi CD95lo T_betlo,CD4+ CD8+ T Cell,CD45RAhi CD95lo T_betlo,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8+,NA
38,CD4+ CD8+ T Cell CD45RAlo CD95hi T_bethi,CD4+ CD8+ T Cell,CD45RAlo CD95hi T_bethi,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8+,NA
39,CD4+ CD8+ T Cell CD45RAlo CD95hi T_betlo,CD4+ CD8+ T Cell,CD45RAlo CD95hi T_betlo,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8+,NA
40,CD4+ CD8+ T Cell CD45RAlo CD95lo,CD4+ CD8+ T Cell,CD45RAlo CD95lo,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8+,NA
41,CD4+ T Cell (Central Memory) CXCR3hi,CD4+ T Cell Central Memory,CXCR3hi,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA- CCR7+,NA
42,CD4+ T Cell (Central Memory) CXCR3lo TIGIThi,CD4+ T Cell Central Memory,CXCR3lo TIGIThi,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA- CCR7+,NA
43,CD4+ T Cell (Central Memory) CXCR3lo TIGITlo PD_1hi,CD4+ T Cell Central Memory,CXCR3lo TIGITlo PD_1hi,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA- CCR7+,NA
44,CD4+ T Cell (Central Memory) CXCR3lo TIGITlo PD_1lo,CD4+ T Cell Central Memory,CXCR3lo TIGITlo PD_1lo,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA- CCR7+,NA
45,CD4+ T Cell (EMRA) CXCR3hi CD127hi,CD4+ T Cell EMRA,CXCR3hi CD127hi,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA+ CCR7-,NA
46,CD4+ T Cell (EMRA) CXCR3lo CD127hi CD95hi,CD4+ T Cell EMRA,CXCR3lo CD127hi CD95hi,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA+ CCR7-,NA
47,CD4+ T Cell (EMRA) CXCR3lo CD127hi CD95lo,CD4+ T Cell EMRA,CXCR3lo CD127hi CD95lo,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA+ CCR7-,NA
48,CD4+ T Cell (EMRA) CXCR3lo CD127lo CD95hi,CD4+ T Cell EMRA,CXCR3lo CD127lo CD95hi,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA+ CCR7-,NA
49,CD4+ T Cell (EMRA) CXCR3lo CD127lo CD95lo,CD4+ T Cell EMRA,CXCR3lo CD127lo CD95lo,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA+ CCR7-,NA
50,CD4+ T Cell (Effector Memory) CD127hi PD_1hi,CD4+ T Cell Effector Memory,CD127hi PD_1hi,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA- CCR7-,NA
51,CD4+ T Cell (Effector Memory) CD127hi PD_1lo HLA_DRlo,CD4+ T Cell Effector Memory,CD127hi PD_1lo HLA_DRlo,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA- CCR7-,NA
52,CD4+ T Cell (Effector Memory) CD127lo PD_1hi,CD4+ T Cell Effector Memory,CD127lo PD_1hi,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA- CCR7-,NA
53,CD4+ T Cell (Effector Memory) CD127lo PD_1lo,CD4+ T Cell Effector Memory,CD127lo PD_1lo,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA- CCR7-,NA
54,CD4+ T Cell (Naive) CXCR3hi,CD4+ T Cell Naive,CXCR3hi,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA+ CCR7+,NA
55,CD4+ T Cell (Naive) CXCR3lo CD127hi ICOSlo,CD4+ T Cell Naive,CXCR3lo CD127hi ICOSlo,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA+ CCR7+,NA
56,CD4+ T Cell (Naive) CXCR3lo CD127lo,CD4+ T Cell Naive,CXCR3lo CD127lo,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA+ CCR7+,NA
57,CD4+ T Cell (Treg) CD95hi HLA_DRhi,CD4+ T Cell Treg,CD95hi HLA_DRhi,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD25+ CD127-,NA
58,CD4+ T Cell (Treg) CD95hi HLA_DRlo ICOShi,CD4+ T Cell Treg,CD95hi HLA_DRlo ICOShi,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD25+ CD127-,NA
59,CD4+ T Cell (Treg) CD95hi HLA_DRlo ICOSlo,CD4+ T Cell Treg,CD95hi HLA_DRlo ICOSlo,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD25+ CD127-,NA
60,CD4+ T Cell (Treg) CD95lo HLA_DRlo ICOSlo,CD4+ T Cell Treg,CD95lo HLA_DRlo ICOSlo,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD25+ CD127-,NA
61,CD4- CD8- T Cell CD45RAhi CD127hi,CD4- CD8- T Cell,CD45RAhi CD127hi,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8-,NA
62,CD4- CD8- T Cell CD45RAhi CD127lo T_bethi,CD4- CD8- T Cell,CD45RAhi CD127lo T_bethi,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8-,NA
63,CD4- CD8- T Cell CD45RAhi CD127lo T_betlo,CD4- CD8- T Cell,CD45RAhi CD127lo T_betlo,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8-,NA
64,CD4- CD8- T Cell CD45RAlo CD127hi T_betlo,CD4- CD8- T Cell,CD45RAlo CD127hi T_betlo,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8-,NA
65,CD4- CD8- T Cell CD45RAlo CD127lo T_bethi,CD4- CD8- T Cell,CD45RAlo CD127lo T_bethi,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8-,NA
66,CD4- CD8- T Cell CD45RAlo CD127lo T_betlo,CD4- CD8- T Cell,CD45RAlo CD127lo T_betlo,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8-,NA
67,CD8+ T Cell (Central Memory) CD127hi CXCR3hi T_betlo,CD8+ T Cell Central Memory,CD127hi CXCR3hi T_betlo,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA- CCR7+,NA
68,CD8+ T Cell (Central Memory) CD127hi CXCR3lo T_bethi,CD8+ T Cell Central Memory,CD127hi CXCR3lo T_bethi,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA- CCR7+,NA
69,CD8+ T Cell (Central Memory) CD127hi CXCR3lo T_betlo,CD8+ T Cell Central Memory,CD127hi CXCR3lo T_betlo,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA- CCR7+,NA
70,CD8+ T Cell (Central Memory) CD127lo CXCR3hi T_betlo,CD8+ T Cell Central Memory,CD127lo CXCR3hi T_betlo,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA- CCR7+,NA
71,CD8+ T Cell (Central Memory) CD127lo CXCR3lo,CD8+ T Cell Central Memory,CD127lo CXCR3lo,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA- CCR7+,NA
72,CD8+ T Cell (EMRA) CD127hi CD28hi,CD8+ T Cell EMRA,CD127hi CD28hi,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA+ CCR7-,NA
73,CD8+ T Cell (EMRA) CD127hi CD28lo,CD8+ T Cell EMRA,CD127hi CD28lo,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA+ CCR7-,NA
74,CD8+ T Cell (EMRA) CD127lo CD28hi,CD8+ T Cell EMRA,CD127lo CD28hi,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA+ CCR7-,NA
75,CD8+ T Cell (EMRA) CD127lo CD28lo T_bethi,CD8+ T Cell EMRA,CD127lo CD28lo T_bethi,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA+ CCR7-,NA
76,CD8+ T Cell (EMRA) CD127lo CD28lo T_betlo,CD8+ T Cell EMRA,CD127lo CD28lo T_betlo,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA+ CCR7-,NA
77,CD8+ T Cell (Effector Memory) CD127hi CD28hi HLA_DRlo,CD8+ T Cell Effector Memory,CD127hi CD28hi HLA_DRlo,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA- CCR7-,NA
78,CD8+ T Cell (Effector Memory) CD127hi CD28lo,CD8+ T Cell Effector Memory,CD127hi CD28lo,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA- CCR7-,NA
79,CD8+ T Cell (Effector Memory) CD127lo CD28hi,CD8+ T Cell Effector Memory,CD127lo CD28hi,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA- CCR7-,NA
80,CD8+ T Cell (Effector Memory) CD127lo CD28lo HLA_DRhi,CD8+ T Cell Effector Memory,CD127lo CD28lo HLA_DRhi,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA- CCR7-,NA
81,CD8+ T Cell (Effector Memory) CD127lo CD28lo HLA_DRlo,CD8+ T Cell Effector Memory,CD127lo CD28lo HLA_DRlo,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA- CCR7-,NA
82,CD8+ T Cell (Naive) CXCR3hi CD127hi CD28hi,CD8+ T Cell Naive,CXCR3hi CD127hi CD28hi,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA+ CCR7+,NA
83,CD8+ T Cell (Naive) CXCR3hi CD127hi CD28lo,CD8+ T Cell Naive,CXCR3hi CD127hi CD28lo,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA+ CCR7+,NA
84,CD8+ T Cell (Naive) CXCR3lo CD127hi CD28hi,CD8+ T Cell Naive,CXCR3lo CD127hi CD28hi,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA+ CCR7+,NA
85,CD8+ T Cell (Naive) CXCR3lo CD127hi CD28lo,CD8+ T Cell Naive,CXCR3lo CD127hi CD28lo,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA+ CCR7+,NA
86,CD8+ T Cell (Naive) CXCR3lo CD127lo,CD8+ T Cell Naive,CXCR3lo CD127lo,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA+ CCR7+,NA
87,CM- HLADR+ CD8ahi,CM- HLADR+,CD8ahi,CD3- CD19- CD56- CD33- CD123- HLADR+,NA
88,CM- HLADR+ CD8alo CD45RAhi CD4hi,CM- HLADR+,CD8alo CD45RAhi CD4hi,CD3- CD19- CD56- CD33- CD123- HLADR+,NA
89,CM- HLADR+ CD8alo CD45RAhi CD4lo,CM- HLADR+,CD8alo CD45RAhi CD4lo,CD3- CD19- CD56- CD33- CD123- HLADR+,NA
